№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
269,С245,240,пр.60х40х5 90°,60,60,,,,8.6,6.7,19.1,9.5,,2.08,37.1,12.3,1.49
270,С245,240,пр.100х60х3 90°,100,100,,,,9.2,7.2,55.6,18.5,,3.66,123.2,24.6,2.46
271,С245,240,пр.100х60х4 90°,100,100,,,,12.2,9.6,70.8,23.6,,3.59,157.6,31.5,2.41
272,С245,240,пр.100х60х5 90°,100,100,,,,15,11.8,83.8,27.9,,3.54,187.8,37.6,2.36
273,С245,240,пр.100х60х6 90°,100,100,,,,17.8,14,96.2,32.1,,3.48,216.3,43.3,2.32
274,С245,240,пр.120х80х3 90°,120,120,,,,11.6,9.1,124.8,31.2,,4.48,233.4,38.9,3.27
275,С245,240,пр.120х80х4 90°,120,120,,,,15.3,12,159.7,39.9,,4.42,299,49.8,3.23
276,С245,240,пр.120х80х5 90°,120,120,,,,18.9,14.8,192.4,48.1,,4.37,361.4,60.2,3.19
277,С245,240,пр.120х80х6 90°,120,120,,,,22.6,17.7,224.1,56,,4.33,423.2,70.5,3.15
278,С245,240,пр.120х80х7 90°,120,120,,,,26.3,20.6,254.6,63.8,,4.28,483.2,80.4,3.1
279,С245,240,пр.140х60х4 90°,140,140,,,,15.3,12,95.4,31.8,,4.86,362.1,51.7,2.5
280,С245,240,пр.140х60х5 90°,140,140,,,,18.9,14.8,113.6,37.9,,4.8,436.1,62.3,2.45
281,С245,240,пр.140х60х6 90°,140,140,,,,22.6,17.7,131.3,43.8,,4.75,509.7,72.8,2.41
282,С245,240,пр.140х100х3 90°,140,140,,,,14.2,11.1,241.2,48.2,,5.31,404.2,57.7,4.1
283,С245,240,пр.140х100х4 90°,140,140,,,,18.5,14.5,304.3,60.9,,5.26,511.3,73,4.05
284,С245,240,пр.140х100х5 90°,140,140,,,,22.9,18,368,73.6,,5.2,619.7,88.5,4.01
285,С245,240,пр.140х100х6 90°,140,140,,,,27.4,21.5,432.4,86.5,,5.16,729.2,104.2,3.97
286,С245,240,пр.140х100х7 90°,140,140,,,,32,25.1,497.5,99.5,,5.11,839.8,120,3.92
287,С245,240,пр.160х80х3 90°,160,160,,,,13.9,10.9,155.2,38.8,,5.7,455,56.9,3.34
288,С245,240,пр.160х80х4 90°,160,160,,,,18.5,14.5,206.9,51.7,,5.73,606.7,75.8,3.34
289,С245,240,пр.160х80х5 90°,160,160,,,,22.9,18,248.7,62.2,,5.67,735.9,92,3.29
290,С245,240,пр.160х80х6 90°,160,160,,,,27.4,21.5,280.7,72.7,,5.62,864.7,108.1,3.26
291,С245,240,пр.160х120х4 90°,160,160,,,,21.6,17,514,85.7,,6.08,799.2,99.9,4.88
292,С245,240,пр.160х120х5 90°,160,160,,,,26.9,21.1,628.4,104.7,,6.03,978.2,122.3,4.83
293,С245,240,пр.160х120х6 90°,160,160,,,,32.1,25.2,736.9,122.8,,5.99,1150.5,143.8,4.79
294,С245,240,пр.160х120х7 90°,160,160,,,,37.2,29.2,836.6,139.4,,5.93,1307.4,163.4,4.74
295,С245,240,пр.160х120х8 90°,160,160,,,,42.3,33.2,932.5,155.4,,5.88,1461,182.6,4.69
296,С245,240,пр.180х60х5 90°,180,180,,,,22.9,18,144.7,48.2,,6.03,833.8,92.6,2.51
297,С245,240,пр.180х60х6 90°,180,180,,,,27.4,21.5,166.5,55.5,,5.97,978.5,108.7,2.46
298,С245,240,пр.180х100х5 90°,180,180,,,,26.9,21.1,459.6,91.9,,6.52,1143,127,4.13
299,С245,240,пр.180х100х6 90°,180,180,,,,32.1,25.2,537.8,107.6,,6.47,1344.4,149.4,4.09
300,С245,240,пр.180х100х7 90°,180,180,,,,37.2,29.2,607.9,121.6,,6.41,1527.9,169.8,4.04
301,С245,240,пр.180х100х8 90°,180,180,,,,42.3,33.2,676,135.2,,6.35,1706.1,189.6,4
302,С245,240,пр.180х140х4 90°,180,180,,,,24.6,19.3,782.4,111.8,,6.91,1165,128.2,5.7
303,С245,240,пр.180х140х5 90°,180,180,,,,30.7,24.1,981.2,140.2,,6.85,1443,160.3,5.65
